,prices,address,description
187,"360,000€","Flat / Apartment in calle Còrsega, Barcelona, El Camp d'En Grassot i Gràcia Nova, Barcelona",4 bed 100 m² Floor 1 exterior without lift 
188,"2,500,000€","Flat / Apartment in Pedralbes, Barcelona",5 bed 280 m² Floor 6 exterior with lift 
189,"210,000€","Flat / Apartment in calle de la Diputació, NN, El Fort Pienc, Barcelona",4 bed 60 m² Floor 1 interior with lift 
190,"425,000€","Flat / Apartment in El Putxet i el Farró, Barcelona",4 bed 97 m² Floor 2 exterior with lift 
191,"183,000€","Flat / Apartment in calle de Cantàbria, La Verneda i la Pau, Barcelona",4 bed 76 m² Floor 1 exterior with lift 
192,"1,600,000€","Flat / Apartment in Sant Gervasi - Galvany, Barcelona",6 bed 390 m² Floor 1  with lift 
193,"720,000€","Flat / Apartment in Sant Gervasi - La Bonanova, Barcelona",5 bed 163 m² Floor 4  with lift 
194,"495,000€","Flat / Apartment in calle de Còrsega, El Camp d'En Grassot i Gràcia Nova, Barcelona",4 bed 117 m² Floor 3 exterior without lift 
195,"169,900€","Flat / Apartment in cantabria, Sant Martí de Provençals, Barcelona",3 bed 76 m² Floor 5 exterior with lift 
196,"295,000€","Flat / Apartment in calle Mallorca, La Sagrada Família, Barcelona",4 bed 75 m² Floor 4 exterior with lift 
197,"195,000€","Flat / Apartment in calle de Ramon Batlle, Sant Andreu, Barcelona",3 bed 69 m² Floor 2 exterior with lift 
198,"399,000€","Flat / Apartment in calle d'Aragó, La Dreta de l'Eixample, Barcelona",3 bed 107 m² Floor 5 exterior with lift 
199,"320,000€","Flat / Apartment in calle de Joan Güell, Sants, Barcelona",4 bed 86 m² Floor 1 exterior with lift 
200,"195,000€","Flat / Apartment in Santa Cecilia, Sants, Barcelona",2 bed 58 m² Floor 2 exterior without lift 
201,"270,000€","Flat / Apartment in avenida de les Drassanes, El Raval, Barcelona",2 bed 76 m² Floor 5 exterior with lift 
202,"3,950,000€","Flat / Apartment in Pedralbes, Barcelona",6 bed 439 m² Floor 6 exterior with lift 
203,"2,500,000€","Flat / Apartment in Pedralbes, Barcelona",7 bed 484 m² Floor 5 exterior with lift 
204,"540,000€","Flat / Apartment in La Nova Esquerra de l'Eixample, Barcelona",4 bed 124 m² Floor 3 exterior with lift 
205,"510,000€","Penthouse in El Parc i la Llacuna del Poblenou, Barcelona",3 bed 82 m²  exterior 
206,"540,000€","Flat / Apartment in El Parc i la Llacuna del Poblenou, Barcelona",2 bed 103 m²  exterior with lift 
207,"660,000€","Flat / Apartment in La Dreta de l'Eixample, Barcelona",5 bed 138 m²  exterior with lift 
208,"175,000€","Flat / Apartment in sants, 285, Sants - Badal, Barcelona",3 bed 70 m² Floor 2 exterior without lift 
209,"690,000€","Flat / Apartment in Sant Pere - Santa Caterina i la Ribera, Barcelona",2 bed 137 m²  interior 
210,"760,000€","Flat / Apartment in La Dreta de l'Eixample, Barcelona",4 bed 148 m²  exterior with lift 
211,"640,000€","Flat / Apartment in La Dreta de l'Eixample, Barcelona",4 bed 147 m²  exterior with lift 
212,"349,000€","Flat / Apartment in La Sagrada Família, Barcelona",3 bed 80 m² Floor 5 exterior with lift 
213,"295,000€","Flat / Apartment in calle Viladomat, 267, La Nova Esquerra de l'Eixample, Barcelona",3 bed 77 m² Floor 1 exterior with lift 
214,"595,000€","Flat / Apartment in calle de Còrsega, La Sagrada Família, Barcelona",3 bed 123 m² Floor 4 exterior with lift 
215,"179,900€","Flat / Apartment in calle de la Riera d'Horta, El Congrés i els Indians, Barcelona",3 bed 65 m² Floor 4 exterior with lift 
216,"425,000€","Flat / Apartment in calle del Capità Arenas, Pedralbes, Barcelona",3 bed 69 m² Floor 6 exterior with lift 
217,"235,000€","Flat / Apartment in calle de Radas, El Poble Sec - Parc de Montjuïc, Barcelona",2 bed 98 m²   with lift 
218,"540,000€","Flat / Apartment in calle Balmes, La Dreta de l'Eixample, Barcelona",4 bed 112 m² Mezzanine exterior with lift 
219,"219,000€","Flat / Apartment in calle del Correu Vell, El Gòtic, Barcelona",4 bed 80 m² Floor 2 interior without lift 
220,"620,000€","Flat / Apartment in calle de Valencia, Barcelona, La Sagrada Família, Barcelona",5 bed 204 m² Floor 5 exterior with lift 
221,"660,000€","Flat / Apartment in calle del Rosselló, La Dreta de l'Eixample, Barcelona",4 bed 152 m² Floor 3 exterior with lift 
222,"260,000€","Flat / Apartment in calle del Rosselló, La Dreta de l'Eixample, Barcelona",1 bed 42 m² Floor 4 exterior with lift 
223,"400,000€","Flat / Apartment in calle del Rosselló, La Dreta de l'Eixample, Barcelona",3 bed 89 m² Floor 4 exterior with lift 
224,"620,000€","Flat / Apartment in calle del Rosselló, La Dreta de l'Eixample, Barcelona",3 bed 140 m² Floor 1 exterior with lift 
225,"620,000€","Flat / Apartment in calle del Rosselló, La Dreta de l'Eixample, Barcelona",4 bed 140 m² Floor 1 exterior with lift 
