,prices,address,description
211,"1,220,000€","Flat / Apartment in La Dreta de l'Eixample, Barcelona",6 bed 235 m² Floor 4 exterior with lift 
212,"395,000€","Flat / Apartment in La Barceloneta, Barcelona",3 bed 76 m² Floor 3 exterior without lift 
213,"620,000€","Flat / Apartment in La Dreta de l'Eixample, Barcelona",3 bed 122 m² Floor 1 exterior with lift 
214,"200,000€","Flat / Apartment in Horta, Barcelona",4 bed 182 m² Floor -1  without lift 
215,"390,000€","Flat / Apartment in calle de Rosés, Sants, Barcelona",3 bed 78 m² Floor 3 exterior with lift 
216,"150,000€","Flat / Apartment in La Verneda i la Pau, Barcelona",3 bed 79 m² Floor 1 exterior without lift 
217,"298,000€","Flat / Apartment in El Raval, Barcelona",3 bed 108 m² Floor 2 exterior without lift 
218,"380,000€","Flat / Apartment in Sant Gervasi - Galvany, Barcelona",3 bed 109 m² Floor 1 exterior with lift 
219,"283,000€","Flat / Apartment in calle de Pujades, El Parc i la Llacuna del Poblenou, Barcelona",3 bed 73 m² Ground floor exterior with lift 
220,"240,000€","Flat / Apartment in calle de Rodrigo Caro, Les Roquetes, Barcelona",3 bed 105 m² Floor 1 exterior without lift 
221,"590,000€","Flat / Apartment in ronda de Sant Pere, La Dreta de l'Eixample, Barcelona",4 bed 154 m² Floor 3 exterior with lift 
222,"290,000€","Flat / Apartment in Encarnacion, El Camp d'En Grassot i Gràcia Nova, Barcelona",2 bed 65 m² Floor 4 interior with lift 
223,"255,000€","Flat / Apartment in calle de Josep Sangenís, La Teixonera, Barcelona",2 bed 68 m²  exterior with lift 
224,"450,000€","Flat / Apartment in calle de Thous, El Baix Guinardó, Barcelona",3 bed 122 m² Floor 3 exterior with lift 
